	matchId	rank	elo
256	LA1_1292166847	IV	IRON
257	LA1_1292152893	IV	IRON
258	LA1_1292131000	IV	IRON
259	LA1_1292092550	IV	IRON
260	LA1_1292143006	IV	IRON
261	LA1_1292098749	IV	IRON
262	LA1_1292055072	IV	IRON
263	LA1_1290517182	IV	IRON
264	LA1_1289317966	IV	IRON
265	LA1_1289325807	IV	IRON
266	LA1_1289304047	IV	IRON
267	LA1_1289076179	IV	IRON
268	LA1_1289038960	IV	IRON
269	LA1_1286650215	IV	IRON
270	LA1_1286617971	IV	IRON
271	LA1_1285572024	IV	IRON
272	LA1_1285568421	IV	IRON
273	LA1_1285562524	IV	IRON
274	LA1_1283258417	IV	IRON
275	LA1_1282812329	IV	IRON
276	LA1_1282643115	IV	IRON
277	LA1_1282630299	IV	IRON
278	LA1_1279465231	IV	IRON
279	LA1_1275236210	IV	IRON
280	LA1_1285589325	IV	IRON
281	LA1_1284150630	IV	IRON
282	LA1_1281558569	IV	IRON
283	LA1_1280441683	IV	IRON
284	LA1_1280397274	IV	IRON
285	LA1_1278181872	IV	IRON
286	LA1_1275737173	IV	IRON
287	LA1_1275744465	IV	IRON
288	LA1_1273343685	IV	IRON
289	LA1_1273258643	IV	IRON
290	LA1_1273074329	IV	IRON
291	LA1_1273050720	IV	IRON
292	LA1_1273000597	IV	IRON
293	LA1_1272334071	IV	IRON
294	LA1_1272250374	IV	IRON
295	LA1_1272204347	IV	IRON
296	LA1_1272186229	IV	IRON
297	LA1_1272162462	IV	IRON
298	LA1_1270638600	IV	IRON
299	LA1_1270653032	IV	IRON
300	LA1_1293739488	IV	IRON
301	LA1_1292768256	IV	IRON
302	LA1_1286881018	IV	IRON
303	LA1_1278530324	IV	IRON
304	LA1_1278090269	IV	IRON
305	LA1_1277243567	IV	IRON
306	LA1_1276466382	IV	IRON
307	LA1_1276345046	IV	IRON
308	LA1_1270544011	IV	IRON
309	LA1_1270038327	IV	IRON
310	LA1_1267064204	IV	IRON
311	LA1_1266710825	IV	IRON
312	LA1_1265515924	IV	IRON
313	LA1_1265123595	IV	IRON
314	LA1_1264072793	IV	IRON
315	LA1_1263813413	IV	IRON
316	LA1_1263769559	IV	IRON
317	LA1_1263764789	IV	IRON
318	LA1_1263646164	IV	IRON
319	LA1_1263653541	IV	IRON
320	LA1_1281001738	IV	IRON
321	LA1_1280981258	IV	IRON
322	LA1_1243903021	IV	IRON
323	LA1_1243900298	IV	IRON
324	LA1_1233188020	IV	IRON
325	LA1_1233204926	IV	IRON
326	LA1_1233202369	IV	IRON
327	LA1_1233148081	IV	IRON
328	LA1_1232288894	IV	IRON
329	LA1_1232262431	IV	IRON
330	LA1_1228241329	IV	IRON
331	LA1_1225793930	IV	IRON
332	LA1_1225786220	IV	IRON
333	LA1_1225770812	IV	IRON
334	LA1_1225717136	IV	IRON
335	LA1_1225088551	IV	IRON
336	LA1_1225103323	IV	IRON
337	LA1_1221828156	IV	IRON
